State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
Alaska,ALEUTIANS EAST,159,154,38,0,31,0,0,3,82,12
Alaska,ALEUTIANS WEST,385,154,116,0,1,0,0,0,37,11
Alaska,ANCHORAGE,30663,252992,99940,383,33941,0,6686,1661,110381,8346
Alaska,BETHEL,1032,1169,651,0,96,0,0,0,423,64
Alaska,BRISTOL BAY,149,323,227,0,0,0,0,0,96,14
Alaska,DENALI,254,1493,480,0,147,0,0,21,845,48
Alaska,DILLINGHAM,317,528,265,0,52,0,0,0,211,30
Alaska,FAIRBANKS N. STAR,12819,75424,35639,0,12835,0,0,560,26390,2354
Alaska,HAINES,284,1094,542,0,30,0,0,1,521,41
Alaska,HOONAH-ANGOON,209,650,340,0,13,0,0,16,281,38
Alaska,JUNEAU,2347,11564,5441,0,1374,0,0,260,4489,434
Alaska,KENAI PENINSULA,5513,39419,15015,0,1587,0,0,229,22589,1643
Alaska,KETCHIKAN GATEWAY,1517,4064,2160,0,352,0,0,20,1532,149
Alaska,KODIAK ISLAND,1424,5142,2490,0,1025,0,0,71,1557,144
Alaska,LAKE AND PENINSULA,135,111,93,0,5,0,0,0,12,*
Alaska,MATANUSKA SUSITNA,10876,84368,36825,0,9083,0,0,491,37970,3074
Alaska,NOME,688,864,446,0,78,0,0,0,339,40
Alaska,NORTH SLOPE,389,362,246,0,2,0,0,1,113,25
Alaska,NORTHWEST ARCTIC,485,271,174,0,32,0,0,0,65,*
Alaska,PETERSBURG,427,1110,721,0,30,0,0,6,353,44
Alaska,PRINCE OF WALES-HYDER,572,2364,871,0,15,0,0,22,1455,105
Alaska,SITKA,858,2762,1309,233,257,0,0,39,923,108
Alaska,SKAGWAY,90,161,38,0,0,0,0,0,123,14
Alaska,SOUTHEAST FAIRBANKS,761,5891,3338,0,395,0,0,17,2142,218
Alaska,VALDEZ CORDOVA,1127,5610,1950,0,208,0,0,11,3441,192
Alaska,WADE HAMPTON,288,862,574,0,16,0,0,0,271,29
Alaska,WRANGELL,285,801,361,0,12,0,0,11,416,39
Alaska,YAKUTAT,92,176,94,0,22,0,0,0,60,*
Alaska,YUKON KOYUKUK,528,1721,873,0,214,0,0,0,634,71
Alabama,AUTAUGA,6044,43947,26671,0,5011,0,0,363,11901,1339
Alabama,BALDWIN,20214,85654,52417,0,6755,0,0,1802,24680,4357
Alabama,BARBOUR,2391,14452,9476,0,358,0,0,196,4423,583
Alabama,BIBB,1316,12198,6648,0,402,0,0,66,5082,506
Alabama,BLOUNT,4819,19784,9254,0,564,0,0,53,9913,1021
Alabama,BULLOCK,880,7628,4397,0,223,0,0,120,2887,218
Alabama,BUTLER,1906,11696,6748,0,677,0,0,88,4183,431
Alabama,CALHOUN,12022,81383,54324,0,3937,0,0,733,22390,3224
Alabama,CHAMBERS,3143,22772,14142,0,815,0,0,103,7712,816
Alabama,CHEROKEE,2198,11634,6624,0,292,0,0,236,4482,490
Alabama,CHILTON,3327,25393,15038,0,870,0,0,261,9224,886
Alabama,CHOCTAW,1027,8903,6086,0,140,0,0,10,2668,327
Alabama,CLARKE,1816,12597,7593,0,649,0,0,17,4338,520
Alabama,CLAY,1249,6469,4069,0,110,0,0,9,2281,300
Alabama,CLEBURNE,1029,5771,3404,0,145,0,0,17,2205,265
Alabama,COFFEE,7141,59158,42710,0,5808,0,0,740,9901,1727
Alabama,COLBERT,4862,30986,21005,0,1406,0,0,236,8340,1328
Alabama,CONECUH,1255,8358,5551,0,179,0,0,353,2273,315
Alabama,COOSA,1050,6925,4700,0,171,0,0,37,2016,234
Alabama,COVINGTON,3605,23256,15653,0,676,0,0,186,6741,824
Alabama,CRENSHAW,917,8290,4643,0,409,0,0,182,3057,281
Alabama,CULLMAN,7170,38250,22692,0,1817,0,0,230,13511,1468
Alabama,DALE,7154,53965,38234,0,4527,0,0,666,10540,1885
Alabama,DALLAS,2951,24062,12730,0,859,0,0,114,10360,1005
Alabama,DE KALB,4439,24799,14549,0,962,0,0,211,9077,1010
Alabama,ELMORE,9329,65158,42087,0,5567,0,0,692,16812,2084
Alabama,ESCAMBIA,3135,18536,12540,0,406,0,0,308,5282,805
Alabama,ETOWAH,9136,61231,38469,0,1876,0,0,290,20597,2497
Alabama,FAYETTE,1365,11380,5504,0,294,0,0,26,5555,553
Alabama,FRANKLIN,1841,11325,7233,0,428,0,0,84,3579,398
Alabama,GENEVA,2708,22678,15814,0,829,0,0,195,5840,875
Alabama,GREENE,561,6113,3088,0,46,0,0,21,2958,261
Alabama,HALE,962,13006,6298,0,310,0,0,31,6366,475
Alabama,HENRY,1789,10880,7405,0,398,0,0,66,3011,443
Alabama,HOUSTON,9070,61670,40752,0,4042,0,0,787,16089,2813
Alabama,JACKSON,4079,18695,10872,0,694,0,0,77,7051,842
Alabama,JEFFERSON,49524,390095,170081,256,19142,0,4117,5002,191497,15277
Alabama,LAMAR,1252,8612,5043,0,397,0,0,45,3127,455
Alabama,LAUDERDALE,7662,41987,26741,0,2308,0,0,1171,11767,1736
Alabama,LAWRENCE,2278,9232,5595,0,308,0,0,220,3109,495
Alabama,LEE,10728,88866,53125,0,10378,0,0,1121,24242,2694
Alabama,LIMESTONE,8546,37830,23728,0,4941,0,0,262,8899,1464
Alabama,LOWNDES,744,6370,3182,0,211,0,0,32,2946,270
Alabama,MACON,1692,31945,11413,0,554,0,783,129,19065,905
Alabama,MADISON,38639,195782,128828,0,26066,0,0,2393,38495,7115
Alabama,MARENGO,1457,14479,8573,0,350,0,0,43,5513,660
Alabama,MARION,2355,13515,7111,0,648,0,0,11,5744,659
Alabama,MARSHALL,7379,39168,24022,0,2009,0,0,274,12863,1738
Alabama,MOBILE,33382,193962,107826,0,17448,0,116,2288,66284,8820
Alabama,MONROE,1549,11298,6296,0,278,0,0,176,4548,471
Alabama,MONTGOMERY,20064,231901,107831,110,17743,0,26627,1567,78022,6432
Alabama,MORGAN,9808,49062,32208,0,2858,0,0,583,13413,1873
Alabama,PERRY,729,6412,3683,0,194,0,0,50,2485,199
Alabama,PICKENS,1572,17744,8589,0,355,0,0,48,8752,732
Alabama,PIKE,2268,19927,10470,0,3197,0,0,178,6082,612
Alabama,RANDOLPH,1759,10947,6869,0,388,0,0,82,3607,468
Alabama,RUSSELL,5405,67888,41600,5,10261,0,700,742,14579,2087
Alabama,SAINT CLAIR,7877,39804,19590,0,1353,0,0,379,18483,1712
Alabama,SHELBY,14467,70649,38474,0,5202,0,0,1661,25311,2717
Alabama,SUMTER,766,7482,4448,0,245,0,0,35,2754,302
Alabama,TALLADEGA,7062,36982,20174,0,1495,0,0,132,15181,1789
Alabama,TALLAPOOSA,3667,30973,17371,0,629,0,0,609,12363,1181
Alabama,TUSCALOOSA,14116,134799,48233,1550,5931,0,1541,723,76822,5180
Alabama,WALKER,6178,42400,25829,0,920,0,0,156,15495,1706
Alabama,WASHINGTON,1602,7160,4294,0,288,0,0,25,2553,322
Alabama,WILCOX,660,5798,3180,0,253,0,0,72,2293,193
Alabama,WINSTON,1878,12015,7028,0,414,0,0,41,4532,505
Arkansas,ARKANSAS,1518,9190,4254,0,202,0,0,100,4634,455
Arkansas,ASHLEY,1723,11218,5979,0,252,0,0,140,4846,491
Arkansas,BAXTER,5820,31431,16832,0,904,0,0,204,13492,1987
Arkansas,BENTON,18612,105916,48098,0,4489,0,0,1081,52248,6149
Arkansas,BOONE,3607,24959,13202,0,817,0,0,220,10721,1371
Arkansas,BRADLEY,1082,5635,3003,0,126,0,0,19,2488,250
Arkansas,CALHOUN,511,2420,960,0,63,0,0,22,1374,126
Arkansas,CARROLL,2721,15615,7693,0,302,0,0,157,7464,1007
Arkansas,CHICOT,935,7932,3785,0,167,0,0,87,3893,320
Arkansas,CLARK,1607,11722,5530,0,660,0,0,69,5463,488
Arkansas,CLAY,1488,10675,5820,0,133,0,0,61,4661,551
Arkansas,CLEBURNE,3175,24359,11780,0,390,0,0,32,12157,1071
Arkansas,CLEVELAND,732,6184,3195,0,184,0,0,29,2777,254
Arkansas,COLUMBIA,1597,11369,5966,0,488,0,0,168,4746,471
Arkansas,CONWAY,1796,14690,7020,0,514,0,0,29,7128,662
Arkansas,CRAIGHEAD,7189,36446,21555,0,2629,0,0,207,12054,1992
Arkansas,CRAWFORD,5709,42047,23672,0,1472,0,0,160,16743,2350
Arkansas,CRITTENDEN,3697,25728,9829,0,2183,0,0,114,13603,1108
Arkansas,CROSS,1111,9060,4406,0,367,0,0,101,4186,399
Arkansas,DALLAS,737,5073,1981,0,203,0,0,15,2874,204
Arkansas,DESHA,1016,9325,4257,0,167,0,0,27,4873,366
Arkansas,DREW,1568,10118,4967,0,328,0,0,109,4714,473
Arkansas,FAULKNER,9819,71204,32671,0,4912,0,0,414,33207,2773
Arkansas,FRANKLIN,1709,14198,7341,0,427,0,0,380,6051,713
Arkansas,FULTON,1199,9700,5434,0,257,0,0,22,3986,498
Arkansas,GARLAND,10357,74953,37883,0,1955,0,0,760,34354,3718
Arkansas,GRANT,1472,12656,5947,0,381,0,0,25,6303,484
Arkansas,GREENE,3065,26182,14863,0,840,0,0,168,10311,1263
Arkansas,HEMPSTEAD,1435,8865,4855,0,187,0,0,71,3752,432
Arkansas,HOT SPRING,3161,19480,9194,0,476,0,0,81,9729,1000
Arkansas,HOWARD,961,6657,3204,0,111,0,0,23,3318,302
Arkansas,INDEPENDENCE,3163,20500,10357,0,457,0,0,173,9513,882
Arkansas,IZARD,1454,10077,5711,0,144,0,0,51,4171,544
Arkansas,JACKSON,1217,9137,4340,0,238,0,0,55,4504,394
Arkansas,JEFFERSON,6361,59003,30067,0,1941,0,0,256,26739,2374
Arkansas,JOHNSON,1863,13850,7261,0,424,0,0,157,6007,735
Arkansas,LAFAYETTE,656,3786,1598,0,48,0,0,55,2085,190
Arkansas,LAWRENCE,1374,9432,5712,0,264,0,0,14,3442,443
Arkansas,LEE,741,3603,1700,0,53,0,0,11,1838,165
Arkansas,LINCOLN,1239,6061,2831,0,186,0,0,51,2993,267
Arkansas,LITTLE RIVER,1041,6702,3714,0,165,0,0,2,2820,359
Arkansas,LOGAN,2117,15266,8666,0,444,0,0,61,6095,821
Arkansas,LONOKE,7666,72523,40763,0,6402,0,0,545,24813,2396
Arkansas,MADISON,1111,10782,4040,0,109,0,0,105,6527,548
Arkansas,MARION,2650,15620,8328,0,117,0,0,81,7094,865
Arkansas,MILLER,3619,19954,10584,0,608,0,0,30,8732,972
Arkansas,MISSISSIPPI,3361,21633,12380,0,477,0,0,75,8701,937
Arkansas,MONROE,729,5777,2431,0,94,0,0,4,3248,254
Arkansas,MONTGOMERY,922,7770,4168,0,80,0,0,33,3489,428
Arkansas,NEVADA,845,5504,2695,0,240,0,0,36,2533,244
Arkansas,NEWTON,756,5243,2706,0,78,0,0,113,2346,320
Arkansas,OUACHITA,2450,16103,8572,0,494,0,0,143,6894,777
Arkansas,PERRY,961,9897,4295,0,139,0,0,11,5452,373
Arkansas,PHILLIPS,1357,11179,5064,0,214,0,0,130,5770,501
Arkansas,PIKE,978,5547,2519,0,130,0,0,17,2880,318
Arkansas,POINSETT,1876,11156,5371,0,468,0,0,164,5153,598
Arkansas,POLK,2063,19061,10308,0,375,0,0,60,8318,1078
Arkansas,POPE,5182,34202,16157,0,2010,0,0,201,15833,1546
Arkansas,PRAIRIE,854,6469,2586,0,111,0,0,11,3760,272
Arkansas,PULASKI,32336,397687,154821,366,18944,0,27681,2846,193030,12629
Arkansas,RANDOLPH,1527,14035,7841,0,353,0,0,46,5795,635
Arkansas,SAINT FRANCIS,1807,12431,6278,0,395,0,0,21,5737,540
Arkansas,SALINE,10551,66238,31341,0,3022,0,0,642,31233,3086
Arkansas,SCOTT,1006,7185,4045,0,246,0,0,62,2832,395
Arkansas,SEARCY,840,7741,3995,0,118,0,0,19,3609,333
Arkansas,SEBASTIAN,10498,70236,38818,373,3305,0,865,561,26315,4199
Arkansas,SEVIER,1111,6340,3275,0,109,0,0,16,2941,303
Arkansas,SHARP,2127,16516,9726,0,279,0,0,47,6463,789
Arkansas,STONE,1171,10848,6111,0,210,0,0,152,4375,493
Arkansas,UNION,3504,19339,9415,0,566,0,0,106,9253,1026
Arkansas,VAN BUREN,1946,14308,7591,0,224,0,0,70,6422,703
Arkansas,WASHINGTON,13170,122002,44417,7199,5571,0,2786,638,61390,5503
Arkansas,WHITE,6691,55217,28458,0,2383,0,0,411,23965,2091
Arkansas,WOODRUFF,590,3887,2147,0,50,0,0,61,1630,151
Arkansas,YELL,1485,11760,6287,0,190,0,0,48,5235,558
Arizona,APACHE,4487,24595,15017,0,1215,0,0,87,8276,1205
Arizona,COCHISE,22690,160944,90547,0,13726,0,0,1865,54807,6697
