State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,Year
Alaska,ALEUTIANS EAST,179,126,28,0,0,0,0,0,97,9,2010
Alaska,ALEUTIANS WEST,387,179,122,0,8,0,0,0,49,24,2010
Alaska,ANCHORAGE,31274,190835,81093,13678,19025,0,6550,1487,69002,7718,2010
Alaska,BETHEL,1228,731,396,0,37,0,0,0,298,61,2010
Alaska,BRISTOL BAY,170,311,190,0,0,0,0,9,112,23,2010
Alaska,DENALI,307,886,574,0,43,0,0,7,263,32,2010
Alaska,DILLINGHAM,355,336,248,0,20,0,0,0,68,19,2010
Alaska,FAIRBANKS NORTH STAR,11727,56708,28387,0,7703,0,0,593,20025,2157,2010
Alaska,HAINES,359,670,474,0,27,0,0,21,148,20,2010
Alaska,HOONAH-ANGOON,277,365,310,0,0,0,0,1,53,18,2010
Alaska,JUNEAU,2593,6859,3907,0,771,0,0,161,2021,284,2010
Alaska,KENAI PENINSULA,6459,28022,12790,0,998,0,0,221,14013,1506,2010
Alaska,KETCHIKAN GATEWAY,1690,2698,1542,0,295,0,0,94,766,102,2010
Alaska,KODIAK ISLAND,1317,3741,2025,0,827,0,0,8,880,114,2010
Alaska,LAKE AND PENINSULA,167,333,133,0,36,0,0,1,162,12,2010
Alaska,MATANUSKA SUSITNA,10381,51511,26873,0,4502,0,0,515,19621,2460,2010
Alaska,NOME,868,461,313,0,28,0,0,0,120,30,2010
Alaska,NORTH SLOPE,449,375,168,0,14,0,0,4,189,17,2010
Alaska,NORTHWEST ARCTIC,661,253,167,0,15,0,0,1,70,15,2010
Alaska,PETERSBURG,430,531,404,0,0,0,0,1,126,19,2010
Alaska,PRINCE OF WALES-HYDER,597,1180,627,0,22,0,0,7,524,75,2010
Alaska,SITKA,1030,1904,1106,0,224,0,0,11,563,76,2010
Alaska,SKAGWAY,107,138,68,0,0,0,0,1,69,7,2010
Alaska,SOUTHEAST FAIRBANKS,1059,4574,2342,0,214,0,0,16,2003,211,2010
Alaska,VALDEZ CORDOVA,1290,3269,1697,0,123,0,0,22,1426,198,2010
Alaska,WADE HAMPTON,335,280,178,0,1,0,0,0,102,21,2010
Alaska,WRANGELL,243,796,506,0,37,0,0,1,252,28,2010
Alaska,YAKUTAT,98,164,107,0,9,0,0,0,48,5,2010
Alaska,YUKON KOYUKUK,572,1124,619,0,85,0,0,0,419,63,2010
Alabama,AUTAUGA,5880,30141,18891,0,3555,0,0,345,7350,1196,2010
Alabama,BALDWIN,20596,63240,38748,0,3736,0,0,1523,19233,3854,2010
Alabama,BARBOUR,2832,13492,7913,0,385,0,0,171,5024,607,2010
Alabama,BIBB,1423,8680,4636,0,336,0,0,37,3672,506,2010
Alabama,BLOUNT,4371,18181,10240,0,766,0,0,154,7022,966,2010
Alabama,BULLOCK,1048,6387,2802,0,149,0,0,18,3418,278,2010
Alabama,BUTLER,2002,9930,5312,0,508,0,0,54,4056,442,2010
Alabama,CALHOUN,12600,65485,43411,0,2845,0,0,929,18300,3310,2010
Alabama,CHAMBERS,3217,17583,9576,0,488,0,0,90,7429,842,2010
Alabama,CHEROKEE,2225,10096,6217,0,174,0,0,176,3529,475,2010
Alabama,CHILTON,3283,19155,11171,0,785,0,0,211,6988,815,2010
Alabama,CHOCTAW,977,6795,4236,0,189,0,0,60,2310,347,2010
Alabama,CLARKE,1890,10220,5475,0,368,0,0,187,4190,497,2010
Alabama,CLAY,1211,6974,4100,0,155,0,0,145,2574,366,2010
Alabama,CLEBURNE,1190,4709,2642,0,164,0,0,255,1648,265,2010
Alabama,COFFEE,6219,39646,27816,0,3624,0,0,590,7616,1573,2010
Alabama,COLBERT,4590,24147,16047,0,933,0,0,127,7040,1283,2010
Alabama,CONECUH,1271,6650,4252,0,198,0,0,61,2139,263,2010
Alabama,COOSA,1058,4667,2357,0,114,0,0,7,2189,204,2010
Alabama,COVINGTON,3492,18768,12429,0,671,0,0,252,5416,805,2010
Alabama,CRENSHAW,1137,5935,3583,0,255,0,0,40,2057,282,2010
Alabama,CULLMAN,7741,29028,18298,0,1510,0,0,267,8953,1370,2010
Alabama,DALE,6871,42520,30398,0,3431,0,0,455,8235,1817,2010
Alabama,DALLAS,2973,18079,9413,0,746,0,0,127,7792,930,2010
Alabama,DE KALB,4567,19275,12055,0,673,0,0,95,6453,1004,2010
Alabama,ELMORE,8664,48585,29802,0,4010,0,0,561,14212,1905,2010
Alabama,ESCAMBIA,3131,16107,10053,0,895,0,0,148,5011,853,2010
Alabama,ETOWAH,9292,48810,29755,0,1274,0,0,374,17408,2464,2010
Alabama,FAYETTE,1389,11955,5543,0,294,0,0,65,6053,588,2010
Alabama,FRANKLIN,1804,7935,5337,0,221,0,0,53,2324,419,2010
Alabama,GENEVA,2559,17105,12115,0,598,0,0,276,4116,898,2010
Alabama,GREENE,578,4634,2540,0,130,0,0,7,1957,230,2010
Alabama,HALE,1016,10386,4400,0,218,0,0,167,5601,481,2010
Alabama,HENRY,1808,6865,5101,0,358,0,0,71,1335,445,2010
Alabama,HOUSTON,8961,45358,30719,0,2798,0,0,684,11156,2849,2010
Alabama,JACKSON,4022,14440,8037,0,468,0,0,139,5796,769,2010
Alabama,JEFFERSON,49211,311359,125121,15130,13750,0,5919,3805,147632,14587,2010
Alabama,LAMAR,1333,6439,3763,0,113,0,0,64,2498,459,2010
Alabama,LAUDERDALE,7171,29306,19427,0,1437,0,0,381,8061,1706,2010
Alabama,LAWRENCE,2219,9662,5761,0,322,0,0,174,3405,467,2010
Alabama,LEE,10336,59765,34707,0,7230,0,0,777,17052,2372,2010
Alabama,LIMESTONE,6418,28480,17643,0,2753,0,0,420,7663,1233,2010
Alabama,LOWNDES,703,4536,2350,0,225,0,0,16,1945,209,2010
Alabama,MACON,1625,27313,8839,0,652,0,793,92,16938,936,2010
Alabama,MADISON,31732,135366,87510,0,16154,0,0,2686,29017,6235,2010
Alabama,MARENGO,1580,14938,7252,0,402,0,0,239,7045,678,2010
Alabama,MARION,2355,9955,5557,0,336,0,0,40,4022,622,2010
Alabama,MARSHALL,6359,29280,17498,0,1132,0,0,793,9857,1468,2010
Alabama,MOBILE,34816,150624,84998,36,11695,0,14,2049,51832,8346,2010
Alabama,MONROE,1913,7283,4793,0,384,0,0,38,2068,377,2010
Alabama,MONTGOMERY,20849,178049,77195,0,11495,0,27023,2411,59925,5919,2010
Alabama,MORGAN,9918,36706,23673,0,2343,0,0,534,10156,1752,2010
Alabama,PERRY,645,4756,3209,0,139,0,0,16,1393,166,2010
