State,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients **
Alabama,400784,2436376,1397550,18410,161536,0,37911,27912,793057,105636
Alaska,77351,426431,214218,342,49100,0,6069,3706,152995,15951
Arizona                                                                                                                        ,551262,2767974,1301541,25916,308912,0,86631,36337,1008638,129863
Arkansas                                                                                                                       ,251402,1741720,903241,22990,68080,0,38629,15342,693439,86353
California,1918073,10341411,4542310,164740,1409512,0,196998,166218,3861632,418775
Colorado                                                                                                                       ,417834,2180977,1146830,43882,288193,0,70054,33308,598709,82111
Connecticut                                                                                                                      ,221899,895363,332190,955,105777,0,14649,25115,416677,51480
Delaware                                                                                                                     ,77220,320543,157963,5904,30924,0,4472,6009,115271,14288
District of Columbia                                                                                                            ,36579,2242043,72700,208272,23437,0,1802736,3089,131809,8575
Florida                                                                                                                     ,1617248,9182578,4379158,355230,769972,0,163427,135355,3379436,461794
Georgia                                                                                                                     ,773337,4000168,2135191,21894,455222,0,127833,47892,1212137,166815
Hawaii                                                                                                                     ,114892,628744,306329,2373,128522,0,14269,12435,164815,21320
Idaho                                                                                                               ,135912,661819,335245,5191,44780,0,8232,9267,259105,37114
Illinois                                                                                                               ,762509,3272091,1275453,28802,301341,0,63681,63166,1539649,175924
Indiana                                                                                                               ,482059,1982522,940185,8483,124543,0,38016,25143,846152,123963
Iowa                                                                                                              ,228731,1013967,464929,10,54502,0,11603,17994,464928,70173
Kansas                                                                                                             ,220910,1058685,480436,4715,80676,0,29753,17371,445734,57563
Kentucky                                                                                                             ,331022,1995998,1077682,8319,115325,0,30268,18883,745521,99118
Louisiana                                                                                                        ,297658,1785970,914857,49081,109377,0,28348,17847,666460,84724
Maine                                                                                                       ,136400,834778,477990,4348,45292,0,19862,8030,279256,38517
Maryland                                                                                                      ,465727,2023967,907286,13492,286130,0,31027,37919,748113,76435
Massachusetts,378622,1980497,884802,14255,153102,0,39588,43487,845264,80747
Michigan,684492,2705517,1412135,8089,165648,0,51915,44885,1022845,137585
Minnesota,371933,2137370,1029515,2258,144335,0,85029,33454,842779,109513
Mississippi,201926,1298811,587394,71472,79980,0,32072,12550,515343,68819
Missouri                                                                                                                       ,496745,2595337,1215792,62610,149238,0,139040,33936,994720,133049
Montana                                                                                                                        ,100904,580856,317673,6518,28629,0,8166,6389,213480,33348
Nebraska                                                                                                                       ,142443,944835,510696,17288,57685,0,29447,13957,315763,45488
Nevada                                                                                                                         ,242205,1326240,569349,112101,81288,0,16479,13963,533060,59643
New Hampshire                                                                                                                  ,126111,534091,249964,11,52051,0,7387,8381,216296,27312
New Jersey                                                                                                                    ,423334,1713913,846171,1263,195338,0,17448,53875,599818,77590
New Mexico                                                                                                                     ,172595,1168156,688460,5507,62984,0,12835,11849,386521,48020
New York                                                                                                                      ,913489,4981959,1846903,87729,474458,0,132186,97495,2343187,230507
North Carolina                                                                                                                ,760544,4246209,2422948,13877,360492,0,88175,51104,1309614,190560
North Dakota                                                                                                                   ,55471,295831,151012,3974,20258,0,7140,4390,109057,18036
Ohio                                                                                                                           ,867240,5732614,1693703,49217,257161,0,1981183,62943,1688407,213872
Oklahoma                                                                                                                      ,319528,2334304,1478415,2559,119191,0,115283,19370,599485,86408
Oregon                                                                                                                         ,327288,1956119,1054578,14441,113553,0,40952,23491,709105,90719
Pennsylvania                                                                                                                   ,933404,4096420,1776407,67271,298989,0,173824,81987,1697942,233142
Rhode Island                                                                                                                   ,68552,386929,175943,4029,26384,0,16274,5710,158590,19724
South Carolina                                                                                                                 ,403975,2406603,1328373,27706,201598,0,54408,28267,766252,114981
South Dakota                                                                                                                   ,70743,510998,219114,212,22974,0,10927,5170,252601,29283
Tennessee                                                                                                                      ,489083,2770480,1454542,14852,190010,0,68073,30323,1012681,128902
Texas                                                                                                                          ,1683237,11331652,5426288,84375,986466,1391866,228122,107458,3107076,405765
Utah                                                                                                                           ,151955,778187,336781,12674,67203,0,49687,12206,299636,32324
Vermont                                                                                                                        ,50913,259211,112409,7308,31987,0,4692,3817,98997,14765
Virginia                                                                                                                       ,823348,3974724,2046830,8157,755870,0,84828,59566,1019474,131322
Washington                                                                                                                     ,626515,2896511,1651780,29068,300313,0,62927,39992,812430,108414
West Virginia                                                                                                                  ,163496,1431396,595011,12326,79509,0,185323,9102,550124,58646
Wisconsin                                                                                                                     ,407624,2120184,969695,30027,134255,0,60607,34887,890714,115050
Wyoming                                                                                                                        ,55510,299488,126193,8746,13935,0,3026,2614,144974,18148
Puerto Rico                                                                                                                   ,109376,1219499,616396,40159,37263,0,23210,2425,500045,57996
Guam,8061,50114,37939,0,7103,0,0,123,4949,
