State,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients **
Alabama,411717,3248127,1856515,9857,217278,,37450,24418,1102610,111832
Alaska,73276,584863,247524,40,72262,,8107,2642,254288,19256
Arizona                                                                                                                        ,528486,3757596,1652047,19007,407882,,79843,37466,1561352,147953
Arkansas                                                                                                                       ,247888,2174053,1037492,17026,88986,,30086,14966,985497,86908
California,1802446,14938931,6552100,158970,1786146,,195904,168465,6077347,467539
Colorado                                                                                                                       ,409469,3482533,1490936,438518,391311,,60068,36677,1065024,100614
Connecticut                                                                                                                      ,206549,1249124,435226,160,107651,,15455,22613,668018,50584
Delaware                                                                                                                     ,77354,422278,204297,2646,36680,,3328,4472,170854,15657
District of Columbia                                                                                                            ,29470,2960157,88498,163143,29182,,2436002,3507,239825,8580
Florida                                                                                                                     ,1558441,12276149,5626995,125365,1021331,,152603,135627,5214229,503251
Georgia                                                                                                                     ,752499,5705037,3112295,9538,508282,,106659,53167,1915096,197458
Hawaii                                                                                                                     ,120482,888037,394010,3347,183257,,16891,13611,276921,26450
Idaho                                                                                                               ,132334,893404,405841,12262,56724,,9580,8767,400229,42592
Illinois                                                                                                               ,705582,4395048,1687260,13424,329365,,49120,61784,2254094,181710
Indiana                                                                                                               ,469210,2787066,1233530,5405,151372,,53741,25497,1317521,130705
Iowa                                                                                                              ,227991,1397551,581556,248,74950,,11568,19433,709796,72039
Kansas                                                                                                             ,218416,1415559,631885,738,110338,,23747,16836,632015,58852
Kentucky                                                                                                             ,328408,2501383,1231438,15544,141335,,43807,18000,1051260,101799
Louisiana                                                                                                        ,326229,2658351,1211260,288759,146460,,28577,20552,962744,89654
Maine                                                                                                       ,125078,982591,519583,101,42841,,19660,10281,390125,40174
Maryland                                                                                                      ,430446,2866923,1279895,10173,350882,,24264,35023,1166686,84729
Massachusetts,367531,2693536,1141560,5360,211092,,27522,39886,1268117,84625
Michigan,640865,3856572,1959410,10805,215844,,54702,46717,1569095,152881
Minnesota,361129,2637124,1123595,10726,146597,,86488,35200,1234518,117414
Mississippi,218980,1739068,791716,34603,96930,,29819,12941,773059,69923
Missouri                                                                                                                       ,488220,3556661,1627460,70190,199877,,154123,34211,1470801,140618
Montana                                                                                                                        ,99034,780685,324329,5972,40828,,8801,7002,393754,36365
Nebraska                                                                                                                       ,141213,1171266,546459,11448,65078,,37410,11703,499168,47822
Nevada                                                                                                                         ,225073,1885151,818844,27882,107053,,14561,12547,904265,71894
New Hampshire                                                                                                                  ,111389,702720,313725,555,59060,,6587,9098,313694,29595
New Jersey                                                                                                                    ,413188,2157162,1036506,5047,207474,,18670,49039,840426,77318
New Mexico                                                                                                                     ,170132,1499350,782081,11497,76755,,13727,12854,602436,52842
New York                                                                                                                      ,862805,6284863,2377227,36121,567639,,107919,94698,3101259,227633
North Carolina                                                                                                                ,773884,6380720,3436154,12445,474299,,95036,58336,2304451,221522
North Dakota                                                                                                                   ,57086,386285,167895,5151,24962,,6291,3863,178123,19361
Ohio                                                                                                                           ,848124,7699529,2192679,24745,307468,,2608851,59110,2506677,231996
Oklahoma                                                                                                                      ,335905,3003074,1812031,10509,153716,,123447,20901,882470,95358
Oregon                                                                                                                         ,326338,2627979,1281055,13213,145921,,36758,26339,1124692,100961
Pennsylvania                                                                                                                   ,916638,5432718,2402975,33688,359206,,159981,78071,2398796,234347
Rhode Island                                                                                                                   ,69862,545538,223371,2427,39555,,25055,6257,248873,19707
South Carolina                                                                                                                 ,417515,3484527,1909398,8411,267690,,68554,30328,1200146,132146
South Dakota                                                                                                                   ,71736,666733,236224,15050,30536,,11254,4497,369172,30167
Tennessee                                                                                                                      ,503675,3977481,2046342,10755,265299,,64844,33729,1556512,143137
Texas                                                                                                                          ,1675262,14812595,7447454,36772,1376590,865419,222872,119106,4744382,463875
Utah                                                                                                                           ,150904,1118885,440335,3463,127276,,59881,12169,475761,36004
Vermont                                                                                                                        ,47664,324118,134177,8801,19992,,4085,3494,153568,14920
Virginia                                                                                                                       ,783108,5424411,2775627,15689,890627,,64952,54280,1623236,152800
Washington                                                                                                                     ,598460,4004526,2140766,50484,398814,,71631,41278,1301553,128240
West Virginia                                                                                                                  ,165709,1896031,705355,4092,46198,,369209,9374,761803,58450
Wisconsin                                                                                                                     ,405729,2756150,1118396,18678,134092,,72837,35051,1377096,121747
Wyoming                                                                                                                        ,49838,426957,156163,6034,17174,,1793,3028,242765,19092
Puerto Rico                                                                                                                   ,90395,1602762,784777,22876,64137,,21448,5224,704301,56100
Guam,9493,89961,53087, $- ,16101,,,427,20346,2934
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,, . ,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,, 
