State,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients **,Year
Alabama,405624,2171215,1181450,15927,130271,0,36119,27450,779999,101842,2010
Alaska,77025,359342,167394,13678,35065,0,6550,3183,133472,15324,2010
Arizona,556729,2397241,1054437,7957,229540,0,98142,36992,970173,125972,2010
Arkansas,254664,1616787,761123,30269,60854,0,44347,14031,706162,85624,2010
California,1971959,9124852,3804601,136604,991205,0,190350,170694,3831398,405918,2010
Colorado,421342,1828589,904509,23454,219202,0,69751,30331,581342,78515,2010
Connecticut,229734,829125,278863,2191,85897,0,14254,24712,423209,50193,2010
Delaware,78247,280266,128984,5650,22850,0,4609,4749,113424,13896,2010
District Of Columbia,37268,1940241,64135,133978,17653,0,1538076,3200,183198,9413,2010
Florida,1650876,8041289,3668460,217586,600434,0,150590,140465,3263755,448858,2010
Georgia,773858,3481761,1722943,15944,372060,0,126946,49477,1194391,158032,2010
Hawaii,116166,537128,243813,8467,82546,0,14652,13650,174000,20571,2010
Idaho,136625,576366,275862,1199,37357,0,9019,8709,244221,35883,2010
Illinois,782747,2985041,1039465,24889,250886,0,87127,65341,1517333,171289,2010
Indiana,491605,1814121,777648,10277,102092,0,33056,26815,864233,122335,2010
Iowa,234552,891159,378657,777,48308,0,11165,18573,433679,69128,2010
Kansas,225091,937195,393705,7041,66962,0,26950,16698,425839,57075,2010
Kentucky,335670,1761192,886451,3220,91568,0,28308,21376,730268,97776,2010
Louisiana,304889,1585152,768087,25292,86678,0,28846,21346,654903,83013,2010
Maine,138551,743795,410056,9871,39812,0,18292,9282,256482,38019,2010
Maryland,471238,1784295,754755,8238,205103,0,35109,38788,742301,76033,2010
Massachusetts,393722,1821408,775842,6970,115127,0,32024,42882,848563,75413,2010
Michigan,703970,2400007,1136035,25199,138822,0,52016,44508,1003427,133196,2010
Minnesota,381309,1832705,818980,7943,120999,0,81536,32052,771196,106039,2010
Mississippi,205644,1238167,502046,103067,60242,0,29105,15302,528405,68008,2010
Missouri,505916,2288658,1005861,23743,121905,0,127581,32377,977191,130997,2010
Montana,102015,505710,255238,5134,26064,0,8196,6914,204163,31832,2010
Nebraska,145237,861137,433235,16117,47647,0,28107,11218,324812,44430,2010
Nevada,243867,1264737,447347,200313,62506,0,14542,12763,527266,57869,2010
New Hampshire,127964,492834,212753,216,40149,0,9161,8378,222176,26569,2010
New Jersey,443161,1555339,733454,2262,152499,0,19200,49776,598149,77825,2010
New Mexico,174687,1057365,574985,2494,55579,0,12881,12511,398914,46962,2010
New York,950417,4537260,1599625,41345,370899,0,138300,95470,2291622,230272,2010
North Carolina,765942,3769312,2000475,20887,286043,0,87667,49034,1325207,181529,2010
North Dakota,56310,251467,122247,624,16561,0,6770,3620,101645,17990,2010
Ohio,890340,5252743,1384310,83268,211169,0,1752983,62179,1758834,209055,2010
Oklahoma,324714,2073912,1230737,3125,104659,0,109894,20938,604559,85828,2010
Oregon,333752,1701878,844587,17621,87903,0,39073,23257,689436,87955,2010
Pennsylvania,964132,3824045,1525466,100992,240643,0,179177,77363,1700404,237183,2010
Rhode Island,71216,361653,155147,8841,19526,0,12047,6427,159665,19655,2010
South Carolina,406729,2093514,1086181,14092,160208,0,51111,27575,754347,110090,2010
South Dakota,71762,455333,179340,928,18373,0,10244,4994,241454,29291,2010
Tennessee,495766,2466606,1212897,10659,143209,0,64400,30682,1004758,124733,2010
Texas,1693791,9402572,4460761,62975,778237,804064,206882,107169,2982483,396299,2010
Utah,153623,675371,262497,5321,54801,0,48922,12931,290899,31151,2010
Vermont,52082,239217,96158,6837,28810,0,5155,3799,98458,14312,2010
Virginia,822312,3403757,1681764,14891,559581,0,112950,61590,972982,126889,2010
Washington,632210,2527972,1391229,33779,232021,0,52932,42313,775698,103232,2010
West Virginia,167182,1306463,506560,44885,77151,0,152118,9658,516090,58311,2010
Wisconsin,417654,1876977,808775,30910,105741,0,57209,33791,840550,112788,2010
Wyoming,55850,262678,102431,635,12106,0,3144,2701,141661,17855,2010
Puerto Rico,112699,1107564,543031,19786,30360,0,23685,3266,487436,58349,2010
Guam,8144,40177,29232,0,4230,0,0,943,5773,0,2010
Alabama,400784,2436376,1397550,18410,161536,0,37911,27912,793057,105636,2011
Alaska,77351,426431,214218,342,49100,0,6069,3706,152995,15951,2011
Arizona,551262,2767974,1301541,25916,308912,0,86631,36337,1008638,129863,2011
Arkansas,251402,1741720,903241,22990,68080,0,38629,15342,693439,86353,2011
California,1918073,10341411,4542310,164740,1409512,0,196998,166218,3861632,418775,2011
Colorado,417834,2180977,1146830,43882,288193,0,70054,33308,598709,82111,2011
Connecticut,221899,895363,332190,955,105777,0,14649,25115,416677,51480,2011
Delaware,77220,320543,157963,5904,30924,0,4472,6009,115271,14288,2011
District Of Columbia,36579,2242043,72700,208272,23437,0,1802736,3089,131809,8575,2011
Florida,1617248,9182578,4379158,355230,769972,0,163427,135355,3379436,461794,2011
Georgia,773337,4000168,2135191,21894,455222,0,127833,47892,1212137,166815,2011
Hawaii,114892,628744,306329,2373,128522,0,14269,12435,164815,21320,2011
Idaho,135912,661819,335245,5191,44780,0,8232,9267,259105,37114,2011
Illinois,762509,3272091,1275453,28802,301341,0,63681,63166,1539649,175924,2011
Indiana,482059,1982522,940185,8483,124543,0,38016,25143,846152,123963,2011
Iowa,228731,1013967,464929,10,54502,0,11603,17994,464928,70173,2011
Kansas,220910,1058685,480436,4715,80676,0,29753,17371,445734,57563,2011
Kentucky,331022,1995998,1077682,8319,115325,0,30268,18883,745521,99118,2011
Louisiana,297658,1785970,914857,49081,109377,0,28348,17847,666460,84724,2011
Maine,136400,834778,477990,4348,45292,0,19862,8030,279256,38517,2011
Maryland,465727,2023967,907286,13492,286130,0,31027,37919,748113,76435,2011
Massachusetts,378622,1980497,884802,14255,153102,0,39588,43487,845264,80747,2011
Michigan,684492,2705517,1412135,8089,165648,0,51915,44885,1022845,137585,2011
Minnesota,371933,2137370,1029515,2258,144335,0,85029,33454,842779,109513,2011
Mississippi,201926,1298811,587394,71472,79980,0,32072,12550,515343,68819,2011
Missouri,496745,2595337,1215792,62610,149238,0,139040,33936,994720,133049,2011
Montana,100904,580856,317673,6518,28629,0,8166,6389,213480,33348,2011
Nebraska,142443,944835,510696,17288,57685,0,29447,13957,315763,45488,2011
Nevada,242205,1326240,569349,112101,81288,0,16479,13963,533060,59643,2011
New Hampshire,126111,534091,249964,11,52051,0,7387,8381,216296,27312,2011
New Jersey,423334,1713913,846171,1263,195338,0,17448,53875,599818,77590,2011
New Mexico,172595,1168156,688460,5507,62984,0,12835,11849,386521,48020,2011
New York,913489,4981959,1846903,87729,474458,0,132186,97495,2343187,230507,2011
North Carolina,760544,4246209,2422948,13877,360492,0,88175,51104,1309614,190560,2011
North Dakota,55471,295831,151012,3974,20258,0,7140,4390,109057,18036,2011
Ohio,867240,5732614,1693703,49217,257161,0,1981183,62943,1688407,213872,2011
Oklahoma,319528,2334304,1478415,2559,119191,0,115283,19370,599485,86408,2011
Oregon,327288,1956119,1054578,14441,113553,0,40952,23491,709105,90719,2011
Pennsylvania,933404,4096420,1776407,67271,298989,0,173824,81987,1697942,233142,2011
Rhode Island,68552,386929,175943,4029,26384,0,16274,5710,158590,19724,2011
South Carolina,403975,2406603,1328373,27706,201598,0,54408,28267,766252,114981,2011
South Dakota,70743,510998,219114,212,22974,0,10927,5170,252601,29283,2011
Tennessee,489083,2770480,1454542,14852,190010,0,68073,30323,1012681,128902,2011
Texas,1683237,11331652,5426288,84375,986466,1391866,228122,107458,3107076,405765,2011
Utah,151955,778187,336781,12674,67203,0,49687,12206,299636,32324,2011
Vermont,50913,259211,112409,7308,31987,0,4692,3817,98997,14765,2011
Virginia,823348,3974724,2046830,8157,755870,0,84828,59566,1019474,131322,2011
Washington,626515,2896511,1651780,29068,300313,0,62927,39992,812430,108414,2011
West Virginia,163496,1431396,595011,12326,79509,0,185323,9102,550124,58646,2011
Wisconsin,407624,2120184,969695,30027,134255,0,60607,34887,890714,115050,2011
Wyoming,55510,299488,126193,8746,13935,0,3026,2614,144974,18148,2011
Puerto Rico,109376,1219499,616396,40159,37263,0,23210,2425,500045,57996,2011
Guam,8061,50114,37939,0,7103,0,0,123,4949,0,2011
Alabama,418035,2415560,1362005,8670,174031,0,35910,27826,807118,106490,2012
Alaska,74513,410052,178264,953,53712,0,5961,4201,166961,16704,2012
Arizona,531910,2712810,1179562,22330,306312,0,109262,36129,1059215,132810,2012
Arkansas,252279,1674467,802324,24559,73423,0,34796,15168,724198,86814,2012
California,1844803,10274754,4219749,121381,1393887,0,181161,164331,4194246,431268,2012
Colorado,395613,2111996,1011092,71072,284980,0,65167,29157,650528,85700,2012
Connecticut,215316,889948,309790,2778,74104,0,14171,24520,464585,51508,2012
Delaware,78687,309215,145450,1293,29797,0,4464,5725,122487,14501,2012
District Of Columbia,31839,2099018,66819,259398,22122,0,1582239,3618,164821,8710,2012
Florida,1543496,8889429,4067030,230489,782267,0,155450,132383,3521811,471492,2012
Georgia,776205,3928851,2090187,31441,388892,0,109235,48953,1260142,172624,2012
Hawaii,116844,607054,268665,1605,132202,0,14112,13187,177283,22169,2012
Idaho,138320,635946,287723,5144,48246,0,7549,7882,279402,39283,2012
Illinois,764203,3237715,1180084,30303,280998,0,55509,67099,1623723,178075,2012
Indiana,498944,2001898,873835,14324,131325,0,44156,24296,913962,126530,2012
