State,County/ Congressional District,Veteran Population,Year
Puerto Rico,MANATI,1255,2010
California,MERCED,12474,2010
California,MODOC,1123,2010
California,MONO,691,2010
California,MONTEREY,23096,2010
California,NAPA,10214,2010
California,NEVADA,10362,2010
California,ORANGE,145036,2010
California,PLACER,30868,2010
California,PLUMAS,2675,2010
California,RIVERSIDE,143216,2010
California,SACRAMENTO,101397,2010
California,SAN BENITO,3069,2010
California,SAN BERNARDINO,115631,2010
California,SAN DIEGO,247737,2010
California,SAN FRANCISCO,33078,2010
California,SAN JOAQUIN,38183,2010
California,SAN LUIS OBISPO,23513,2010
California,SAN MATEO,36246,2010
California,SANTA BARBARA,27966,2010
California,SANTA CLARA,74371,2010
California,SANTA CRUZ,13729,2010
California,SHASTA,18336,2010
California,SIERRA,429,2010
California,SISKIYOU,4969,2010
California,SOLANO,36883,2010
California,SONOMA,33302,2010
California,STANISLAUS,27838,2010
California,SUTTER,6847,2010
California,TEHAMA,5866,2010
California,TRINITY,1800,2010
California,TULARE,19058,2010
California,TUOLUMNE,6129,2010
California,VENTURA,51184,2010
California,YOLO,10998,2010
California,YUBA,6201,2010
Colorado,ADAMS,27878,2010
Colorado,ALAMOSA,1208,2010
Colorado,ARAPAHOE,43247,2010
Colorado,ARCHULETA,1063,2010
Colorado,BACA,317,2010
Colorado,BENT,671,2010
Colorado,BOULDER,16582,2010
Colorado,BROOMFIELD,4257,2010
Colorado,CHAFFEE,2203,2010
Colorado,CHEYENNE,102,2010
Colorado,CLEAR CREEK,909,2010
Colorado,CONEJOS,655,2010
Colorado,COSTILLA,413,2010
Colorado,CROWLEY,788,2010
Colorado,CUSTER,646,2010
Colorado,DELTA,3542,2010
Colorado,DENVER,35433,2010
Colorado,DOLORES,206,2010
Colorado,DOUGLAS,19437,2010
Colorado,EAGLE,1861,2010
Colorado,ELBERT,2492,2010
Colorado,EL PASO,75738,2010
Colorado,FREMONT,6748,2010
Colorado,GARFIELD,3724,2010
Colorado,GILPIN,573,2010
Colorado,GRAND,1394,2010
Colorado,GUNNISON,1311,2010
Colorado,HINSDALE,72,2010
Colorado,HUERFANO,934,2010
Colorado,JACKSON,191,2010
Colorado,JEFFERSON,45334,2010
Colorado,KIOWA,127,2010
Colorado,KIT CARSON,826,2010
Colorado,LAKE,516,2010
Colorado,LA PLATA,4193,2010
Colorado,LARIMER,22749,2010
Colorado,LAS ANIMAS,1517,2010
Colorado,LINCOLN,752,2010
Colorado,LOGAN,2433,2010
Colorado,MESA,14641,2010
Colorado,MINERAL,140,2010
Colorado,MOFFAT,1171,2010
Colorado,MONTEZUMA,2433,2010
Colorado,MONTROSE,3675,2010
Colorado,MORGAN,1988,2010
Colorado,OTERO,1717,2010
Colorado,OURAY,414,2010
Colorado,PARK,1954,2010
Colorado,PHILLIPS,444,2010
Colorado,PITKIN,1152,2010
Colorado,PROWERS,812,2010
Colorado,PUEBLO,15127,2010
Colorado,RIO BLANCO,589,2010
Colorado,RIO GRANDE,963,2010
Colorado,ROUTT,1344,2010
Colorado,SAGUACHE,522,2010
Colorado,SAN JUAN,74,2010
Colorado,SAN MIGUEL,369,2010
Colorado,SEDGWICK,276,2010
Colorado,SUMMIT,1331,2010
Colorado,TELLER,3368,2010
Colorado,WASHINGTON,387,2010
Colorado,WELD,17201,2010
Colorado,YUMA,588,2010
Connecticut,FAIRFIELD,47938,2010
Connecticut,HARTFORD,59155,2010
Connecticut,LITCHFIELD,16630,2010
Connecticut,MIDDLESEX,13699,2010
Connecticut,NEW HAVEN,56502,2010
Connecticut,NEW LONDON,27415,2010
Connecticut,TOLLAND,11338,2010
Connecticut,WINDHAM,10470,2010
Delaware,KENT,17572,2010
Delaware,NEW CASTLE,38905,2010
Delaware,SUSSEX,21718,2010
District Of Columbia,DISTRICT OF COLUMBIA,33139,2010
Florida,ALACHUA,17438,2010
Florida,BAKER,2219,2010
Florida,BAY,22640,2010
Florida,BRADFORD,3210,2010
Florida,BREVARD,73906,2010
Florida,BROWARD,103651,2010
Florida,CALHOUN,1484,2010
Florida,CHARLOTTE,25981,2010
Florida,CITRUS,22409,2010
Florida,CLAY,26552,2010
Florida,COLLIER,32535,2010
Florida,COLUMBIA,8563,2010
Florida,DESOTO,2957,2010
Florida,DIXIE,1942,2010
Florida,DUVAL,86673,2010
Florida,ESCAMBIA,37381,2010
Florida,FLAGLER,11871,2010
Florida,FRANKLIN,1536,2010
Florida,GADSDEN,3478,2010
Florida,GILCHRIST,1723,2010
Florida,GLADES,1274,2010
Florida,GULF,1881,2010
Florida,HAMILTON,1390,2010
Florida,HARDEE,1467,2010
Florida,HENDRY,1811,2010
Florida,HERNANDO,23812,2010
Florida,HIGHLANDS,13900,2010
Florida,HILLSBOROUGH,98846,2010
Florida,HOLMES,2168,2010
Florida,INDIAN RIVER,16453,2010
Florida,JACKSON,5459,2010
Florida,JEFFERSON,1673,2010
Florida,LAFAYETTE,954,2010
Florida,LAKE,37165,2010
Florida,LEE,68238,2010
Florida,LEON,19107,2010
Florida,LEVY,5310,2010
Florida,LIBERTY,578,2010
Florida,MADISON,1669,2010
Florida,MANATEE,34539,2010
Florida,MARION,43783,2010
Florida,MARTIN,17950,2010
Florida,MIAMI-DADE,65602,2010
Florida,MONROE,8046,2010
Florida,NASSAU,9014,2010
Florida,OKALOOSA,31529,2010
Florida,OKEECHOBEE,3708,2010
Florida,ORANGE,69870,2010
Florida,OSCEOLA,16660,2010
Florida,PALM BEACH,110723,2010
Florida,PASCO,53642,2010
Florida,PINELLAS,105071,2010
Florida,POLK,55380,2010
Florida,PUTNAM,9030,2010
Florida,SAINT JOHNS,19062,2010
Florida,SAINT LUCIE,28421,2010
Florida,SANTA ROSA,20737,2010
Florida,SARASOTA,49766,2010
Florida,SEMINOLE,32749,2010
Florida,SUMTER,16493,2010
Florida,SUWANNEE,4431,2010
Florida,TAYLOR,2357,2010
Florida,UNION,1749,2010
Florida,VOLUSIA,58480,2010
Florida,WAKULLA,3301,2010
Florida,WALTON,6350,2010
Florida,WASHINGTON,2541,2010
Georgia,APPLING,1189,2010
Georgia,ATKINSON,461,2010
Georgia,BACON,578,2010
Georgia,BAKER,190,2010
Georgia,BALDWIN,3487,2010
Georgia,BANKS,1311,2010
Georgia,BARROW,4962,2010
Georgia,BARTOW,6582,2010
Georgia,BEN HILL,1335,2010
Georgia,BERRIEN,1436,2010
Georgia,BIBB,12698,2010
Georgia,BLECKLEY,1085,2010
Georgia,BRANTLEY,1527,2010
Georgia,BROOKS,1249,2010
Georgia,BRYAN,3535,2010
Georgia,BULLOCH,4484,2010
Georgia,BURKE,1674,2010
Georgia,BUTTS,1883,2010
Georgia,CALHOUN,503,2010
Georgia,CAMDEN,6108,2010
Georgia,CANDLER,681,2010
Georgia,CARROLL,7671,2010
Georgia,CATOOSA,4882,2010
Georgia,CHARLTON,1164,2010
Georgia,CHATHAM,24577,2010
Georgia,CHATTAHOOCHEE,765,2010
Georgia,CHATTOOGA,1647,2010
Georgia,CHEROKEE,14727,2010
Georgia,CLARKE,5720,2010
Georgia,CLAY,226,2010
Georgia,CLAYTON,19665,2010
Georgia,CLINCH,339,2010
Georgia,COBB,47766,2010
Georgia,COFFEE,2747,2010
Georgia,COLQUITT,2522,2010
Georgia,COLUMBIA,12752,2010
Georgia,COOK,1292,2010
Georgia,COWETA,10921,2010
Georgia,CRAWFORD,1064,2010
Georgia,CRISP,1641,2010
Georgia,DADE,1393,2010
Georgia,DAWSON,1985,2010
Georgia,DECATUR,1637,2010
Georgia,DEKALB,40569,2010
Georgia,DODGE,1710,2010
