Obs,FIPS Code,State,County, Total: Compensation OR Pension , Total: Compensation only , 0% to 20% , 30% to 40% , 50% to 60% , 70% to 90% ,100%, Total: Pension only , Age: less than 35 , Age: 35-44 , Age: 45-54 , Age: 55-64 , Age: 65-74 , Age: 75 or older , Males: Compensation OR Pension , Females: Compensation OR Pension 
1,01001,Alabama,Autauga," 1,905 "," 1,849 ", 508 , 365 , 312 , 449 , 215 , 56 , 133 , 238 , 498 , 431 , 390 , 215 ," 1,657 ", 248 
2,01003,Alabama,Baldwin," 3,948 "," 3,663 "," 1,307 ", 746 , 561 , 660 , 389 , 285 , 296 , 315 , 570 , 616 ," 1,334 ", 815 ," 3,671 ", 277 
3,01005,Alabama,Barbour, 578 , 523 , 130 , 90 , 91 , 128 , 84 , 55 , 42 , 49 , 98 , 132 , 164 , 93 , 524 , 54 
4,01007,Alabama,Bibb, 313 , 248 , 66 , 56 , 33 , 52 , 41 , 65 , 18 , 36 , 42 , 50 , 115 , 52 , 293 , 20 
5,01009,Alabama,Blount, 754 , 660 , 189 , 132 , 116 , 136 , 87 , 93 , 54 , 64 , 105 , 127 , 274 , 129 , 734 , 20 
6,01011,Alabama,Bullock, 160 , 142 , 41 , 18 , 20 , 34 , 29 , 18 , 10 , 13 , 23 , 46 , 40 , 28 , 143 , 17 
7,01013,Alabama,Butler, 411 , 359 , 72 , 47 , 66 , 109 , 65 , 52 , 32 , 57 , 62 , 83 , 129 , 48 , 372 , 39 
8,01015,Alabama,Calhoun," 3,219 "," 2,993 ", 904 , 597 , 497 , 615 , 380 , 226 , 189 , 257 , 466 , 869 , 994 , 444 ," 2,883 ", 336 
9,01017,Alabama,Chambers, 651 , 575 , 138 , 89 , 82 , 161 , 106 , 76 , 50 , 58 , 71 , 137 , 221 , 114 , 604 , 47 
10,01019,Alabama,Cherokee, 365 , 308 , 94 , 57 , 41 , 67 , 48 , 57 , 25 , 22 , 28 , 64 , 152 , 74 , 350 , 15 
11,01021,Alabama,Chilton, 784 , 606 , 148 , 104 , 106 , 148 , 100 , 178 , 76 , 65 , 80 , 139 , 253 , 171 , 742 , 42 
12,01023,Alabama,Choctaw, 300 , 238 , 59 , 37 , 34 , 70 , 38 , 62 , 20 , 35 , 38 , 50 , 95 , 62 , 271 , 29 
13,01025,Alabama,Clarke, 425 , 367 , 92 , 71 , 78 , 77 , 49 , 58 , 40 , 53 , 67 , 94 , 113 , 58 , 386 , 39 
14,01027,Alabama,Clay, 262 , 229 , 58 , 50 , 40 , 53 , 28 , 33 , 20 , 23 , 35 , 47 , 86 , 51 , 253 , ** 
15,01029,Alabama,Cleburne, 217 , 191 , 58 , 39 , 20 , 47 , 27 , 26 , 15 , 17 , 24 , 30 , 97 , 34 , 205 , 12 
16,01031,Alabama,Coffee," 2,911 "," 2,825 ", 737 , 531 , 470 , 745 , 343 , 85 , 235 , 447 , 706 , 653 , 561 , 309 ," 2,551 ", 360 
17,01033,Alabama,Colbert," 1,066 ", 899 , 265 , 170 , 127 , 215 , 122 , 167 , 74 , 83 , 113 , 165 , 391 , 240 ," 1,017 ", 49 
18,01035,Alabama,Conecuh, 303 , 273 , 71 , 46 , 44 , 66 , 46 , 30 , 20 , 32 , 45 , 66 , 95 , 45 , 280 , 23 
19,01037,Alabama,Coosa, 238 , 200 , 50 , 38 , 34 , 46 , 31 , 38 , 14 , 16 , 40 , 66 , 64 , 37 , 212 , 25 
20,01039,Alabama,Covington, 841 , 737 , 216 , 135 , 125 , 147 , 115 , 104 , 64 , 49 , 119 , 168 , 266 , 176 , 797 , 44 
21,01041,Alabama,Crenshaw, 257 , 232 , 54 , 45 , 39 , 59 , 34 , 25 , 22 , 23 , 38 , 45 , 83 , 45 , 235 , 22 
22,01043,Alabama,Cullman," 1,375 "," 1,183 ", 383 , 275 , 188 , 210 , 126 , 192 , 117 , 125 , 156 , 226 , 460 , 291 ," 1,293 ", 82 
23,01045,Alabama,Dale," 2,527 "," 2,444 ", 604 , 443 , 411 , 665 , 320 , 83 , 229 , 341 , 452 , 608 , 584 , 312 ," 2,211 ", 316 
24,01047,Alabama,Dallas, 734 , 642 , 146 , 112 , 99 , 163 , 123 , 92 , 57 , 62 , 147 , 157 , 194 , 118 , 644 , 90 
25,01049,Alabama,De Kalb, 850 , 702 , 209 , 134 , 120 , 148 , 91 , 148 , 82 , 62 , 72 , 129 , 328 , 177 , 808 , 42 
26,01051,Alabama,Elmore," 2,772 "," 2,661 ", 720 , 499 , 459 , 666 , 317 , 111 , 216 , 336 , 642 , 638 , 613 , 327 ," 2,383 ", 389 
27,01053,Alabama,Escambia, 673 , 586 , 172 , 113 , 98 , 111 , 92 , 87 , 38 , 57 , 93 , 132 , 240 , 113 , 621 , 52 
28,01055,Alabama,Etowah," 1,856 "," 1,556 ", 436 , 275 , 221 , 401 , 223 , 300 , 116 , 145 , 217 , 359 , 659 , 360 ," 1,758 ", 98 
29,01057,Alabama,Fayette, 376 , 317 , 68 , 64 , 45 , 92 , 48 , 59 , 34 , 35 , 61 , 64 , 107 , 75 , 355 , 21 
30,01059,Alabama,Franklin, 342 , 275 , 64 , 59 , 48 , 65 , 39 , 67 , 34 , 27 , 31 , 64 , 112 , 74 , 323 , 19 
31,01061,Alabama,Geneva, 793 , 703 , 169 , 131 , 120 , 186 , 97 , 91 , 45 , 64 , 123 , 136 , 281 , 145 , 752 , 41 
32,01063,Alabama,Greene, 178 , 135 , 32 , 22 , 20 , 38 , 23 , 43 , ** , 13 , 29 , 52 , 46 , 31 , 160 , 18 
33,01065,Alabama,Hale, 277 , 232 , 53 , 49 , 33 , 57 , 40 , 45 , 17 , 30 , 38 , 69 , 85 , 38 , 257 , 20 
34,01067,Alabama,Henry, 396 , 340 , 74 , 61 , 59 , 89 , 57 , 56 , 22 , 41 , 67 , 68 , 112 , 86 , 370 , 26 
35,01069,Alabama,Houston," 2,577 "," 2,366 ", 641 , 462 , 359 , 580 , 324 , 211 , 229 , 303 , 447 , 528 , 686 , 384 ," 2,347 ", 230 
36,01071,Alabama,Jackson, 665 , 574 , 167 , 109 , 105 , 117 , 76 , 90 , 54 , 34 , 65 , 101 , 293 , 118 , 630 , 34 
37,01073,Alabama,Jefferson," 10,259 "," 8,687 "," 2,564 "," 1,798 "," 1,435 "," 1,811 "," 1,079 "," 1,572 ", 761 , 957 ," 1,602 "," 2,323 "," 3,151 "," 1,464 "," 9,233 "," 1,026 "
38,01075,Alabama,Lamar, 273 , 229 , 54 , 44 , 47 , 60 , 24 , 44 , 15 , 17 , 41 , 65 , 78 , 57 , 258 , 15 
39,01077,Alabama,Lauderdale," 1,526 "," 1,289 ", 439 , 245 , 208 , 263 , 134 , 237 , 141 , 115 , 158 , 249 , 527 , 335 ," 1,441 ", 85 
