FIPS Code,State,County,Total: Compensation,0% to 20% Rating,30% to 40% Rating,50% to 60% Rating,70% to 90% Rating,100% Rating,Total: Pension ONLY,Age less than 35,Age 35-44,Age 45-54,Age 55-64,Age 65-74,Age 75 or older,Male Recipients: Compensation OR Pension,Female Recipients: Compensation OR Pension
01001,Alabama,Autauga," 1,970 ", 486 , 351 , 305 , 545 , 283 , 52 , 164 , 264 , 511 , 449 , 413 , 221 ," 1,722 ", 300 
01003,Alabama,Baldwin," 4,245 "," 1,372 ", 821 , 686 , 860 , 506 , 243 , 375 , 399 , 668 , 670 ," 1,547 ", 828 ," 4,155 ", 333 
01005,Alabama,Barbour, 504 , 114 , 80 , 91 , 137 , 82 , 51 , 40 , 41 , 96 , 111 , 183 , 84 , 501 , 54 
01007,Alabama,Bibb, 266 , 72 , 52 , 31 , 62 , 49 , 52 , 22 , 33 , 43 , 58 , 110 , 52 , 296 , 22 
01009,Alabama,Blount, 601 , 168 , 116 , 113 , 135 , 69 , 63 , 69 , 55 , 103 , 86 , 257 , 94 , 635 , 29 
01011,Alabama,Bullock, 198 , 38 , 26 , 42 , 54 , 38 , 22 , 19 , 13 , 31 , 69 , 57 , 31 , 193 , 27 
01013,Alabama,Butler, 361 , 72 , 50 , 68 , 98 , 73 , 37 , 35 , 48 , 73 , 77 , 126 , 39 , 354 , 44 
01015,Alabama,Calhoun," 3,190 ", 913 , 592 , 520 , 722 , 443 , 190 , 224 , 308 , 456 , 825 ," 1,087 ", 480 ," 3,023 ", 357 
01017,Alabama,Chambers, 660 , 133 , 86 , 98 , 203 , 140 , 49 , 67 , 77 , 85 , 121 , 256 , 103 , 649 , 60 
01019,Alabama,Cherokee, 345 , 86 , 62 , 53 , 82 , 62 , 38 , 26 , 21 , 36 , 54 , 174 , 72 , 362 , 21 
01021,Alabama,Chilton, 617 , 137 , 97 , 105 , 172 , 106 , 131 , 77 , 67 , 99 , 108 , 260 , 137 , 701 , 47 
01023,Alabama,Choctaw, 241 , 54 , 29 , 35 , 77 , 46 , 45 , 23 , 34 , 37 , 51 , 87 , 54 , 257 , 29 
01025,Alabama,Clarke, 417 , 111 , 74 , 89 , 90 , 53 , 58 , 37 , 55 , 84 , 99 , 138 , 62 , 440 , 35 
01027,Alabama,Clay, 216 , 52 , 43 , 34 , 59 , 28 , 18 , 15 , 20 , 31 , 34 , 94 , 40 , 223 , 11 
01029,Alabama,Cleburne, 196 , 68 , 33 , 22 , 44 , 29 , 18 , 15 , 17 , 32 , 36 , 93 , 21 , 202 , 12 
01031,Alabama,Coffee," 3,167 ", 735 , 516 , 518 , 897 , 501 , 55 , 242 , 475 , 810 , 703 , 675 , 317 ," 2,837 ", 385 
01033,Alabama,Colbert," 1,005 ", 287 , 185 , 149 , 250 , 134 , 115 , 103 , 98 , 133 , 163 , 424 , 198 ," 1,062 ", 58 
01035,Alabama,Conecuh, 282 , 59 , 41 , 47 , 81 , 54 , 33 , 22 , 38 , 44 , 72 , 93 , 46 , 281 , 34 
01037,Alabama,Coosa, 250 , 56 , 37 , 40 , 70 , 47 , 25 , 17 , 22 , 35 , 71 , 88 , 42 , 247 , 28 
01039,Alabama,Covington, 826 , 220 , 142 , 134 , 198 , 132 , 92 , 75 , 68 , 118 , 156 , 332 , 169 , 861 , 57 
01041,Alabama,Crenshaw, 256 , 54 , 34 , 39 , 82 , 47 , 12 , 27 , 25 , 42 , 46 , 91 , 37 , 246 , 22 
01043,Alabama,Cullman," 1,232 ", 349 , 255 , 200 , 266 , 162 , 153 , 152 , 156 , 173 , 201 , 465 , 238 ," 1,292 ", 93 
01045,Alabama,Dale," 2,140 ", 485 , 360 , 349 , 603 , 343 , 67 , 156 , 260 , 390 , 529 , 574 , 298 ," 1,911 ", 296 
01047,Alabama,Dallas, 743 , 183 , 100 , 107 , 196 , 157 , 76 , 62 , 60 , 150 , 190 , 251 , 106 , 719 , 100 
01049,Alabama,De Kalb, 750 , 205 , 143 , 126 , 166 , 110 , 134 , 96 , 68 , 96 , 117 , 347 , 160 , 829 , 55 
01051,Alabama,Elmore," 2,996 ", 722 , 502 , 470 , 850 , 452 , 76 , 247 , 343 , 680 , 727 , 728 , 347 ," 2,662 ", 410 
01053,Alabama,Escambia, 626 , 176 , 120 , 96 , 126 , 108 , 74 , 39 , 67 , 103 , 126 , 265 , 100 , 630 , 70 
01055,Alabama,Etowah," 1,742 ", 481 , 310 , 243 , 476 , 232 , 269 , 154 , 161 , 242 , 354 , 737 , 362 ," 1,890 ", 121 
01057,Alabama,Fayette, 277 , 49 , 49 , 45 , 87 , 47 , 26 , 30 , 36 , 33 , 70 , 94 , 40 , 278 , 25 
01059,Alabama,Franklin, 320 , 76 , 67 , 51 , 75 , 51 , 51 , 38 , 40 , 38 , 41 , 147 , 67 , 354 , 17 
01061,Alabama,Geneva, 812 , 179 , 136 , 136 , 241 , 120 , 58 , 58 , 89 , 143 , 156 , 296 , 128 , 815 , 55 
01063,Alabama,Greene, 135 , 24 , 20 , 19 , 44 , 28 , 35 , ** , 13 , 24 , 48 , 54 , 25 , 150 , 20 
01065,Alabama,Hale, 261 , 47 , 47 , 34 , 80 , 53 , 38 , 18 , 35 , 47 , 65 , 99 , 35 , 266 , 33 
01067,Alabama,Henry, 374 , 70 , 64 , 67 , 105 , 68 , 39 , 26 , 49 , 78 , 61 , 129 , 70 , 372 , 41 
01069,Alabama,Houston," 2,650 ", 621 , 454 , 411 , 730 , 434 , 152 , 262 , 305 , 527 , 542 , 755 , 411 ," 2,527 ", 275 
01071,Alabama,Jackson, 619 , 176 , 102 , 109 , 136 , 96 , 71 , 61 , 48 , 76 , 92 , 310 , 103 , 654 , 36 
01073,Alabama,Jefferson," 9,083 "," 2,512 "," 1,738 "," 1,486 "," 2,079 "," 1,268 "," 1,235 ", 830 ," 1,048 "," 1,617 "," 2,160 "," 3,401 "," 1,259 "," 9,169 "," 1,149 "
01075,Alabama,Lamar, 232 , 45 , 42 , 43 , 70 , 32 , 41 , 18 , 17 , 43 , 53 , 99 , 43 , 260 , 13 
01077,Alabama,Lauderdale," 1,383 ", 423 , 240 , 222 , 318 , 180 , 168 , 145 , 135 , 182 , 242 , 549 , 297 ," 1,439 ", 112 
01079,Alabama,Lawrence, 371 , 93 , 70 , 68 , 96 , 44 , 40 , 36 , 35 , 59 , 55 , 154 , 72 , 393 , 18 
01081,Alabama,Lee," 3,654 ", 664 , 491 , 516 ," 1,145 ", 838 , 124 , 461 , 634 , 855 , 746 , 755 , 327 ," 3,344 ", 434 
01083,Alabama,Limestone," 2,252 ", 563 , 430 , 382 , 600 , 277 , 76 , 180 , 332 , 621 , 513 , 507 , 175 ," 2,065 ", 263 
01085,Alabama,Lowndes, 201 , 39 , 34 , 32 , 58 , 38 , 18 , 19 , 28 , 37 , 61 , 61 , 13 , 190 , 29 
01087,Alabama,Macon, 555 , 121 , 69 , 65 , 157 , 143 , 65 , 33 , 49 , 87 , 180 , 199 , 72 , 562 , 58 
01089,Alabama,Madison," 11,456 "," 3,023 "," 2,281 "," 2,011 "," 2,899 "," 1,242 ", 322 , 937 ," 1,423 "," 3,020 "," 2,925 "," 2,430 "," 1,043 "," 10,259 "," 1,519 "
01091,Alabama,Marengo, 374 , 77 , 48 , 66 , 117 , 66 , 67 , 36 , 44 , 81 , 90 , 131 , 59 , 391 , 50 
01093,Alabama,Marion, 354 , 81 , 83 , 59 , 89 , 42 , 56 , 32 , 45 , 60 , 73 , 138 , 62 , 389 , 21 
01095,Alabama,Marshall," 1,396 ", 366 , 300 , 210 , 360 , 160 , 153 , 118 , 144 , 204 , 274 , 549 , 260 ," 1,465 ", 84 
01097,Alabama,Mobile," 7,013 "," 2,359 "," 1,334 "," 1,133 "," 1,413 ", 774 , 718 , 641 , 772 ," 1,237 "," 1,448 "," 2,515 "," 1,118 "," 7,028 ", 703 
01099,Alabama,Monroe, 331 , 58 , 50 , 61 , 112 , 50 , 38 , 30 , 36 , 60 , 73 , 109 , 61 , 344 , 25 
01101,Alabama,Montgomery," 6,920 "," 1,562 "," 1,076 "," 1,102 "," 1,909 "," 1,271 ", 308 , 616 , 854 ," 1,423 "," 1,840 "," 1,659 ", 835 ," 5,895 "," 1,333 "
01103,Alabama,Morgan," 1,793 ", 555 , 348 , 264 , 413 , 213 , 200 , 192 , 197 , 317 , 328 , 644 , 315 ," 1,854 ", 139 
01105,Alabama,Perry, 129 , 19 , 24 , 16 , 47 , 23 , 24 , ** , 14 , 33 , 32 , 37 , 30 , 137 , 16 
01107,Alabama,Pickens, 378 , 60 , 50 , 55 , 134 , 79 , 35 , 24 , 47 , 79 , 89 , 124 , 50 , 377 , 36 
01109,Alabama,Pike, 650 , 152 , 105 , 102 , 194 , 97 , 43 , 61 , 75 , 122 , 149 , 202 , 84 , 616 , 77 
01111,Alabama,Randolph, 334 , 88 , 59 , 55 , 76 , 56 , 32 , 28 , 24 , 30 , 67 , 149 , 68 , 335 , 31 
01113,Alabama,Russell," 3,215 ", 462 , 348 , 396 ," 1,022 ", 987 , 93 , 434 , 674 , 874 , 639 , 462 , 225 ," 2,682 ", 626 
01115,Alabama,St. Clair," 1,193 ", 328 , 246 , 210 , 256 , 153 , 134 , 144 , 145 , 175 , 205 , 459 , 199 ," 1,230 ", 97 
01117,Alabama,Shelby," 2,680 ", 875 , 478 , 446 , 556 , 325 , 231 , 343 , 394 , 474 , 424 , 829 , 447 ," 2,626 ", 285 
01119,Alabama,Sumter, 183 , 32 , 27 , 24 , 68 , 32 , 18 , 18 , 15 , 40 , 56 , 52 , 20 , 173 , 28 
01121,Alabama,Talladega," 1,202 ", 339 , 227 , 190 , 290 , 156 , 129 , 106 , 120 , 196 , 294 , 452 , 163 ," 1,214 ", 117 
01123,Alabama,Tallapoosa, 793 , 193 , 106 , 100 , 232 , 162 , 82 , 57 , 80 , 92 , 169 , 305 , 172 , 808 , 67 
01125,Alabama,Tuscaloosa," 3,079 ", 632 , 493 , 456 , 872 , 626 , 327 , 365 , 416 , 581 , 715 , 973 , 356 ," 2,986 ", 420 
01127,Alabama,Walker," 1,103 ", 273 , 195 , 180 , 292 , 163 , 163 , 85 , 108 , 142 , 171 , 530 , 230 ," 1,212 ", 54 
01129,Alabama,Washington, 252 , 78 , 43 , 32 , 65 , 34 , 24 , 18 , 19 , 43 , 35 , 111 , 50 , 255 , 21 
01131,Alabama,Wilcox, 132 , 19 , 21 , 26 , 40 , 26 , 21 , ** , 15 , 28 , 31 , 53 , 20 , 141 , 12 
01133,Alabama,Winston, 341 , 94 , 47 , 63 , 86 , 51 , 49 , 35 , 43 , 46 , 57 , 137 , 72 , 367 , 23 
02013,Alaska,Aleutians East, ** , ** , ** , ** , -   , -   , -   , ** , -   , ** , ** , ** , ** , ** , -   
02016,Alaska,Aleutians West, 26 , 17 , ** , ** , -   , ** , -   , ** , ** , ** , ** , ** , ** , 24 , ** 
02020,Alaska,Anchorage," 8,989 "," 2,497 "," 1,759 "," 1,762 "," 2,258 ", 713 , 113 ," 1,215 "," 1,325 "," 2,072 "," 2,108 "," 1,785 ", 597 ," 7,795 "," 1,307 "
02050,Alaska,Bethel, 81 , 42 , 19 , ** , ** , ** , ** , ** , 14 , 23 , 14 , 26 , ** , 76 , ** 
02060,Alaska,Bristol Bay, 21 , ** , ** , ** , ** , -   , -   , ** , ** , ** , ** , ** , ** , 20 , ** 
02068,Alaska,Denali, 29 , 11 , ** , ** , ** , ** , -   , ** , ** , ** , ** , ** , -   , 28 , ** 
02070,Alaska,Dillingham, 47 , 24 , 10 , ** , ** , ** , -   , ** , ** , 15 , ** , 14 , ** , 44 , ** 
