FIPS code,State,County Name,Total: Disability Compensation Recipients,SCD rating: 0% to 20%,SCD rating: 30% to 40%,SCD rating: 50% to 60%,SCD rating: 70% to 90%,SCD rating: 100%,Age: 17-44,Age: 45-64,Age: 65 or older,Male,Female
1001,Alabama,Autauga,2000,435,270,278,623,394,466,957,576,1687,313
1003,Alabama,Baldwin,5073,1524,774,772,1199,804,936,1553,2584,4648,425
1005,Alabama,Barbour,605,111,75,110,186,123,97,242,266,537,68
1007,Alabama,Bibb,278,61,47,38,81,51,56,95,127,252,26
1009,Alabama,Blount,771,201,122,119,205,124,159,217,395,724,47
1011,Alabama,Bullock,152,30,13,24,42,43,22,67,63,133,19
1013,Alabama,Butler,414,84,51,62,125,92,82,168,164,362,52
1015,Alabama,Calhoun,3228,794,516,476,852,590,540,1177,1511,2847,381
1017,Alabama,Chambers,663,122,80,103,205,153,127,201,335,601,62
1019,Alabama,Cherokee,419,101,63,59,106,90,59,124,236,395,24
1021,Alabama,Chilton,736,164,107,103,207,155,161,243,332,678,58
1023,Alabama,Choctaw,241,50,22,34,68,67,50,93,98,209,32
1025,Alabama,Clarke,485,112,78,88,134,73,94,189,202,439,46
1027,Alabama,Clay,269,59,34,48,78,50,50,81,138,257,12
1029,Alabama,Cleburne,190,55,25,25,52,33,32,50,108,180,10
1031,Alabama,Coffee,2853,526,405,425,867,630,796,1225,832,2433,420
1033,Alabama,Colbert,1071,282,181,151,298,159,209,337,525,988,83
1035,Alabama,Conecuh,274,61,36,39,78,60,43,115,116,243,31
1037,Alabama,Coosa,239,51,26,31,74,57,32,87,120,219,20
1039,Alabama,Covington,862,227,123,124,221,167,139,277,446,791,71
1041,Alabama,Crenshaw,290,53,34,49,97,57,67,107,116,251,39
1043,Alabama,Cullman,1345,328,255,194,340,228,315,424,606,1224,121
1045,Alabama,Dale,2629,524,349,412,785,559,648,1076,905,2262,367
1047,Alabama,Dallas,879,189,108,123,241,218,132,387,360,758,121
1049,Alabama,Dekalb,831,211,118,136,220,146,194,225,412,764,67
1051,Alabama,Elmore,2659,593,391,378,793,504,578,1102,979,2279,380
1053,Alabama,Escambia,735,171,112,120,189,143,104,276,355,672,63
1055,Alabama,Etowah,1857,471,258,252,547,329,355,600,901,1726,131
1057,Alabama,Fayette,314,54,45,47,101,67,73,109,132,286,28
1059,Alabama,Franklin,293,61,45,40,85,62,55,80,158,279,14
1061,Alabama,Geneva,720,146,115,107,221,131,144,243,333,668,52
1063,Alabama,Greene,159,29,13,20,53,44,11,76,72,128,31
1065,Alabama,Hale,277,53,34,45,83,62,47,124,106,246,31
1067,Alabama,Henry,413,87,52,65,120,89,76,160,177,375,38
1069,Alabama,Houston,2696,575,381,401,780,559,590,1055,1051,2376,320
1071,Alabama,Jackson,724,183,99,132,192,118,140,197,387,674,50
1073,Alabama,Jefferson,10724,2602,1567,1649,2893,2013,2199,4115,4409,9296,1428
1075,Alabama,Lamar,222,45,38,31,71,37,41,69,112,203,19
1077,Alabama,Lauderdale,1574,415,251,214,437,257,328,448,798,1463,111
1079,Alabama,Lawrence,382,89,71,66,99,57,76,103,203,351,31
1081,Alabama,Lee,3999,672,501,509,1264,1053,1161,1696,1142,3480,519
1083,Alabama,Limestone,2257,521,338,351,599,448,538,976,743,1976,281
1085,Alabama,Lowndes,230,45,26,32,73,54,42,108,80,193,37
1087,Alabama,Macon,532,93,64,71,160,144,80,230,222,468,64
1089,Alabama,Madison,11686,2634,1843,1838,3198,2173,2755,5580,3351,10017,1669
1091,Alabama,Marengo,428,82,55,72,132,87,74,180,174,379,49
1093,Alabama,Marion,398,78,75,59,116,70,89,134,175,365,33
1095,Alabama,Marshall,1444,340,215,256,413,220,299,448,697,1332,112
1097,Alabama,Mobile,8234,2402,1315,1245,1982,1290,1668,3018,3548,7292,942
1099,Alabama,Monroe,440,105,54,73,134,74,74,178,188,402,38
1101,Alabama,Montgomery,7674,1499,1016,1125,2290,1744,1597,3483,2594,6155,1519
1103,Alabama,Morgan,1857,517,319,272,466,283,465,566,826,1704,153
1105,Alabama,Perry,147,26,22,19,48,32,19,81,47,125,22
20071,Kansas,Greeley,10,,,,,,,,,,
1107,Alabama,Pickens,372,60,46,40,135,91,65,170,137,334,38
1109,Alabama,Pike,706,151,89,86,231,149,145,299,262,624,82
1111,Alabama,Randolph,420,100,67,58,110,85,57,125,238,376,44
1113,Alabama,Russell,3191,422,318,364,1048,1039,1076,1384,731,2567,624
1115,Alabama,Saint Clair,1385,386,212,199,365,223,312,444,629,1275,110
1117,Alabama,Shelby,2970,805,474,454,750,487,777,1027,1166,2617,353
1119,Alabama,Sumter,210,37,29,28,66,50,34,102,74,184,26
1121,Alabama,Talladega,1482,391,221,216,405,249,272,534,676,1311,171
1123,Alabama,Tallapoosa,1028,241,124,161,277,225,166,346,516,935,93
1125,Alabama,Tuscaloosa,3658,726,482,471,1147,832,904,1427,1327,3145,513
1127,Alabama,Walker,1078,255,157,170,297,199,219,291,568,1004,74
1129,Alabama,Washington,241,75,36,34,65,31,35,75,131,225,16
1131,Alabama,Wilcox,157,30,18,22,51,36,19,67,71,,
1133,Alabama,Winston,379,105,60,48,107,59,61,136,182,352,27
,Alaska,Unknown,12,,,,,,,,,,
2013,Alaska,Aleutians East,,,,,,,,,,,
2016,Alaska,Aleutians West,35,18,,,,,,,15,,
2020,Alaska,Anchorage,10388,2307,1604,1810,3128,1539,3511,4374,2503,8811,1577
2050,Alaska,Bethel,91,44,21,,15,,19,44,28,,
2060,Alaska,Bristol Bay,18,,,,,,,,,,
