FIPS code,State,County Name,Total: Disability Compensation Recipients,SCD rating: 0% to 20%,SCD rating: 30% to 40%,SCD rating: 50% to 60%,SCD rating: 70% to 90%,SCD rating: 100%,Age: 17-44,Age: 45-64,Age: 65 or older,Male,Female
01001,Alabama,Autauga,2077,424,262,278,650,463,499,991,587,1743,334
01003,Alabama,Baldwin,5174,1500,766,771,1270,867,993,1589,2592,4730,444
01005,Alabama,Barbour,616,116,73,99,198,130,97,248,271,545,71
01007,Alabama,Bibb,281,63,45,38,81,54,57,100,124,255,26
01009,Alabama,Blount,771,190,116,110,231,124,168,220,383,722,49
01011,Alabama,Bullock,149,26,11,22,42,48,22,60,67,130,19
01013,Alabama,Butler,417,79,49,62,124,103,82,167,168,361,56
01015,Alabama,Calhoun,3256,760,462,477,885,672,550,1182,1524,2871,385
01017,Alabama,Chambers,668,117,79,98,214,160,138,205,325,602,66
01019,Alabama,Cherokee,419,100,59,62,114,84,62,120,237,396,23
01021,Alabama,Chilton,753,176,108,97,216,156,162,252,339,692,61
01023,Alabama,Choctaw,238,44,20,35,70,69,48,89,101,206,32
01025,Alabama,Clarke,492,114,71,86,140,81,95,191,206,439,53
01027,Alabama,Clay,265,59,34,42,73,57,50,80,135,254,11
01029,Alabama,Cleburne,190,51,22,25,55,37,31,53,106,178,12
01031,Alabama,Coffee,2985,512,389,417,907,760,836,1298,851,2530,455
01033,Alabama,Colbert,1076,265,165,150,312,184,211,343,522,984,92
01035,Alabama,Conecuh,286,58,38,33,95,62,49,119,118,254,32
01037,Alabama,Coosa,241,47,22,32,78,62,30,92,119,216,25
01039,Alabama,Covington,876,215,125,125,234,177,151,278,447,800,76
01041,Alabama,Crenshaw,296,56,31,46,97,66,69,110,117,252,44
01043,Alabama,Cullman,1357,320,233,196,374,234,331,428,598,1233,124
01045,Alabama,Dale,2727,520,337,388,833,649,668,1123,936,2342,385
01047,Alabama,Dallas,903,186,111,113,262,231,141,388,374,773,130
01049,Alabama,Dekalb,838,210,113,137,229,149,197,236,405,769,69
01051,Alabama,Elmore,2696,559,381,377,828,551,603,1112,981,2305,391
01053,Alabama,Escambia,742,167,108,115,198,154,105,273,364,678,64
01055,Alabama,Etowah,1863,469,242,261,549,342,378,592,893,1720,143
01057,Alabama,Fayette,313,53,42,45,107,66,72,110,131,285,28
01059,Alabama,Franklin,304,60,44,42,94,64,60,81,163,288,16
01061,Alabama,Geneva,718,146,108,102,216,146,152,255,311,664,54
01063,Alabama,Greene,161,28,14,18,51,50,14,74,73,129,32
01065,Alabama,Hale,279,51,28,47,78,75,48,118,113,245,34
01067,Alabama,Henry,419,86,46,63,124,100,78,158,183,380,39
01069,Alabama,Houston,2771,553,359,394,837,628,614,1117,1040,2428,343
01071,Alabama,Jackson,724,174,98,123,197,132,147,197,380,672,52
01073,Alabama,Jefferson,11017,2548,1515,1622,3066,2266,2276,4216,4525,9513,1504
01075,Alabama,Lamar,220,46,36,31,67,40,42,68,110,201,19
01077,Alabama,Lauderdale,1594,402,247,203,457,285,338,458,798,1474,120
01079,Alabama,Lawrence,385,81,73,63,104,64,79,108,198,352,33
01081,Alabama,Lee,4124,642,485,499,1331,1167,1197,1759,1168,3579,545
01083,Alabama,Limestone,2321,508,325,329,639,520,560,997,764,2025,296
01085,Alabama,Lowndes,240,46,31,31,76,56,45,108,87,200,40
01087,Alabama,Macon,536,90,57,63,166,160,82,222,232,470,66
01089,Alabama,Madison,12034,2576,1750,1762,3347,2599,2849,5667,3518,10291,1743
01091,Alabama,Marengo,434,78,49,73,136,98,75,182,177,381,53
01093,Alabama,Marion,401,79,61,62,126,73,88,138,175,367,34
01095,Alabama,Marshall,1458,335,204,252,434,233,320,467,671,1342,116
01097,Alabama,Mobile,8448,2376,1270,1268,2095,1439,1733,3099,3616,7455,993
01099,Alabama,Monroe,444,102,53,69,137,83,79,177,188,407,37
01101,Alabama,Montgomery,7866,1474,979,1092,2375,1946,1667,3499,2700,6249,1617
01103,Alabama,Morgan,1885,505,301,275,485,319,481,575,829,1725,160
01105,Alabama,Perry,155,26,21,18,49,41,21,84,50,130,25
01107,Alabama,Pickens,370,58,44,38,130,100,66,163,141,331,39
01109,Alabama,Pike,727,156,86,95,230,160,154,291,282,639,88
01111,Alabama,Randolph,421,101,60,56,112,92,64,124,233,374,47
01113,Alabama,Russell,3354,414,292,340,1118,1190,1161,1431,762,2683,671
01115,Alabama,Saint Clair,1420,383,209,202,373,253,327,457,636,1301,119
01117,Alabama,Shelby,3082,812,469,437,818,546,806,1086,1190,2704,378
01119,Alabama,Sumter,222,39,30,27,70,56,37,104,81,192,30
01121,Alabama,Talladega,1533,393,216,226,414,284,287,555,691,1355,178
01123,Alabama,Tallapoosa,1041,241,119,149,296,236,178,336,527,945,96
01125,Alabama,Tuscaloosa,3745,723,456,486,1180,900,911,1451,1383,3216,529
01127,Alabama,Walker,1080,248,146,170,304,212,225,296,559,1004,76
01129,Alabama,Washington,248,67,45,36,71,29,36,79,133,232,16
01131,Alabama,Wilcox,163,32,17,19,54,41,20,70,73,,
01133,Alabama,Winston,384,113,53,47,109,62,66,137,181,356,28
02013,Alaska,Aleutians East,,,,,,,,,,,
02016,Alaska,Aleutians West,36,18,,,,,,,15,,
02020,Alaska,Anchorage,10950,2286,1573,1844,3333,1914,3752,4572,2626,9259,1691
02050,Alaska,Bethel,86,41,20,,14,,16,43,27,,
02060,Alaska,Bristol Bay,18,,,,,,,,,,
